Country,IncidentRate
Honduras,-75.41
The Bahamas,-71.56
Saint Lucia,-66.67
Antigua and Barbuda,-62.3
Saint Vincent and the Grenadines,-60.59
Jamaica,-60
OCDE,-56.32
Belize,-53.06
Cuba,-47.5
Dominican Republic,-47.44
Costa Rica,-44.44
Bolivia,-42.93
Haiti,-37.78
Peru,-36.61
Chile,-34.78
Panama,-33.33
Ecuador,-29.41
Nicaragua,-28.81
LAC33,-26.17
Argentina,-16.22
Guatemala,-12.9
Brazil,-11.76
Colombia,0
Trinidad and Tobago,0
Mexico,4.35
Guyana,11.27
Paraguay,14.29
Suriname,20.83
Venezuela,42.42
Uruguay,45.45
El Salvador,71.88
Barbados,84.62
Dominican Republic,944.44
